program_id,month,year,plan_value,actual_value,status
16,jul,2026,0,0,pending
16,aug,2026,1,1,completed
16,sep,2026,0,1,pending
16,oct,2026,0,0,pending
16,nov,2026,0,0,pending
16,dec,2026,0,0,pending
17,jan,2026,0,0,pending
17,feb,2026,0,0,pending
17,mar,2026,0,0,pending
17,apr,2026,0,0,pending
17,may,2026,1,1,completed
17,jun,2026,0,0,pending
17,jul,2026,0,1,pending
17,aug,2026,0,0,pending
17,sep,2026,0,0,pending
17,oct,2026,0,0,pending
17,nov,2026,0,0,pending
17,dec,2026,0,0,pending
18,jan,2026,0,0,pending
18,feb,2026,0,0,pending
18,mar,2026,0,0,pending
18,apr,2026,0,0,pending
18,may,2026,0,0,pending
18,jun,2026,0,0,pending
18,jul,2026,0,0,pending
18,aug,2026,1,1,completed
18,sep,2026,0,0,pending
18,oct,2026,0,0,pending
18,nov,2026,0,0,pending
18,dec,2026,0,0,pending
19,jan,2026,3,3,completed
19,feb,2026,3,3,completed
19,mar,2026,3,3,completed
19,apr,2026,3,3,completed
19,may,2026,3,3,completed
19,jun,2026,3,3,completed
19,jul,2026,3,3,completed
19,aug,2026,3,3,completed
19,sep,2026,3,3,completed
19,oct,2026,3,3,completed
19,nov,2026,3,3,completed
19,dec,2026,3,0,pending
20,jan,2026,3,3,completed
20,feb,2026,0,0,pending
20,mar,2026,0,0,pending
20,apr,2026,3,3,completed
20,may,2026,0,0,pending
20,jun,2026,0,0,pending
20,jul,2026,3,3,completed
20,aug,2026,0,0,pending
20,sep,2026,0,0,pending
20,oct,2026,3,3,completed
20,nov,2026,0,0,pending
20,dec,2026,0,0,pending
21,jan,2026,3,3,completed
21,feb,2026,3,3,completed
21,mar,2026,3,3,completed
21,apr,2026,3,3,completed
21,may,2026,3,3,completed
21,jun,2026,3,3,completed
21,jul,2026,3,3,completed
21,aug,2026,3,3,completed
21,sep,2026,3,3,completed
21,oct,2026,3,3,completed
21,nov,2026,3,3,completed
21,dec,2026,3,0,pending
22,jan,2026,3,3,completed
22,feb,2026,3,3,completed
22,mar,2026,3,4,completed
22,apr,2026,3,3,completed
22,may,2026,3,3,completed
22,jun,2026,3,3,completed
22,jul,2026,3,3,completed
22,aug,2026,3,3,completed
22,sep,2026,3,3,completed
22,oct,2026,3,3,completed
22,nov,2026,3,3,completed
22,dec,2026,3,0,pending
23,jan,2026,0,0,pending
23,feb,2026,0,0,pending
23,mar,2026,0,0,pending
23,apr,2026,1,1,completed
23,may,2026,0,0,pending
23,jun,2026,0,0,pending
23,jul,2026,0,0,pending
23,aug,2026,1,1,completed
23,sep,2026,0,0,pending
23,oct,2026,0,0,pending
23,nov,2026,1,1,completed
23,dec,2026,0,0,pending
24,jan,2026,0,0,pending
24,feb,2026,0,0,pending
24,mar,2026,1,1,completed
24,apr,2026,0,0,pending
24,may,2026,0,0,pending
24,jun,2026,0,0,pending
24,jul,2026,1,1,completed
24,aug,2026,0,0,pending
24,sep,2026,0,0,pending
24,oct,2026,0,0,pending
24,nov,2026,1,1,completed
24,dec,2026,0,0,pending
25,jan,2026,3,3,completed
25,feb,2026,0,0,pending
25,mar,2026,0,0,pending
25,apr,2026,0,0,pending
25,may,2026,1,1,completed
25,jun,2026,0,0,pending
25,jul,2026,0,0,pending
25,aug,2026,0,1,pending
25,sep,2026,0,0,pending
25,oct,2026,0,0,pending
